# Generated by projects_and_tasks/test_access_matrix.py -- do not hand-edit.
# Regenerate with WORKROOM_UPDATE_ACCESS_BASELINE=1 and review the diff.
#
# Columns:
#   view         user_can_view_project
#   manage_proj  user_can_manage_project
#   manage_task  user_can_manage_task, task created by someone else
#   own_task     user_can_manage_task, task created by the actor
#   set_status   user_can_update_task_status
#   log_time     user_can_log_time
#   approve      user_can_approve_task, task created by someone else
#   deadline     user_can_extend_deadline
#
# Dimensions:
#   member  the actor ProjectMembership role on this project, or none
#   rel     none | creator (actor is created_by) | owner (actor is current_owner)
#           "both" is omitted: effective access is a max, so it adds nothing
#   asg     the actor is assigned a live task on this project

actor    | vis        | dept  | member  | rel     | asg | view manage_proj manage_task own_task set_status log_time approve deadline
Owner    | private    | other | manager | owner   | 0   | 1    1           1           1        0          1        0       0
Owner    | private    | other | manager | none    | 1   | 1    1           1           1        1          1        0       0
Owner    | private    | other | manager | creator | 1   | 1    1           1           1        1          1        0       1
Owner    | private    | other | manager | owner   | 1   | 1    1           1           1        1          1        0       0
Owner    | private    | none  | none    | none    | 0   | 1    1           1           1        0          1        0       0
Owner    | private    | none  | none    | creator | 0   | 1    1           1           1        0          1        0       1
Owner    | private    | none  | none    | owner   | 0   | 1    1           1           1        0          1        0       0
Owner    | private    | none  | none    | none    | 1   | 1    1           1           1        1          1        0       0
Owner    | private    | none  | none    | creator | 1   | 1    1           1           1        1          1        0       1
Owner    | private    | none  | none    | owner   | 1   | 1    1           1           1        1          1        0       0
Owner    | private    | none  | viewer  | none    | 0   | 1    1           1           1        0          1        0       0
Owner    | private    | none  | viewer  | creator | 0   | 1    1           1           1        0          1        0       1
Owner    | private    | none  | viewer  | owner   | 0   | 1    1           1           1        0          1        0       0
Owner    | private    | none  | viewer  | none    | 1   | 1    1           1           1        1          1        0       0
Owner    | private    | none  | viewer  | creator | 1   | 1    1           1           1        1          1        0       1
Owner    | private    | none  | viewer  | owner   | 1   | 1    1           1           1        1          1        0       0
Owner    | private    | none  | contrib | none    | 0   | 1    1           1           1        0          1        0       0
Owner    | private    | none  | contrib | creator | 0   | 1    1           1           1        0          1        0       1
Owner    | private    | none  | contrib | owner   | 0   | 1    1           1           1        0          1        0       0
Owner    | private    | none  | contrib | none    | 1   | 1    1           1           1        1          1        0       0
Owner    | private    | none  | contrib | creator | 1   | 1    1           1           1        1          1        0       1
Owner    | private    | none  | contrib | owner   | 1   | 1    1           1           1        1          1        0       0
Owner    | private    | none  | manager | none    | 0   | 1    1           1           1        0          1        0       0
Owner    | private    | none  | manager | creator | 0   | 1    1           1           1        0          1        0       1
Owner    | private    | none  | manager | owner   | 0   | 1    1           1           1        0          1        0       0
Owner    | private    | none  | manager | none    | 1   | 1    1           1           1        1          1        0       0
Owner    | private    | none  | manager | creator | 1   | 1    1           1           1        1          1        0       1
Owner    | private    | none  | manager | owner   | 1   | 1    1           1           1        1          1        0       0
Owner    | department | match | none    | none    | 0   | 1    1           1           1        0          1        0       0
Owner    | department | match | none    | creator | 0   | 1    1           1           1        0          1        0       1
Owner    | department | match | none    | owner   | 0   | 1    1           1           1        0          1        0       0
Owner    | department | match | none    | none    | 1   | 1    1           1           1        1          1        0       0
Owner    | department | match | none    | creator | 1   | 1    1           1           1        1          1        0       1
Owner    | department | match | none    | owner   | 1   | 1    1           1           1        1          1        0       0
Owner    | department | match | viewer  | none    | 0   | 1    1           1           1        0          1        0       0
Owner    | department | match | viewer  | creator | 0   | 1    1           1           1        0          1        0       1
Owner    | department | match | viewer  | owner   | 0   | 1    1           1           1        0          1        0       0
Owner    | department | match | viewer  | none    | 1   | 1    1           1           1        1          1        0       0
Owner    | department | match | viewer  | creator | 1   | 1    1           1           1        1          1        0       1
Owner    | department | match | viewer  | owner   | 1   | 1    1           1           1        1          1        0       0
Owner    | department | match | contrib | none    | 0   | 1    1           1           1        0          1        0       0
Owner    | department | match | contrib | creator | 0   | 1    1           1           1        0          1        0       1
Owner    | department | match | contrib | owner   | 0   | 1    1           1           1        0          1        0       0
Owner    | department | match | contrib | none    | 1   | 1    1           1           1        1          1        0       0
Owner    | department | match | contrib | creator | 1   | 1    1           1           1        1          1        0       1
Owner    | department | match | contrib | owner   | 1   | 1    1           1           1        1          1        0       0
Owner    | department | match | manager | none    | 0   | 1    1           1           1        0          1        0       0
Owner    | department | match | manager | creator | 0   | 1    1           1           1        0          1        0       1
Owner    | department | match | manager | owner   | 0   | 1    1           1           1        0          1        0       0
Owner    | department | match | manager | none    | 1   | 1    1           1           1        1          1        0       0
Owner    | department | match | manager | creator | 1   | 1    1           1           1        1          1        0       1
Owner    | department | match | manager | owner   | 1   | 1    1           1           1        1          1        0       0
Owner    | department | other | none    | none    | 0   | 1    1           1           1        0          1        0       0
Owner    | department | other | none    | creator | 0   | 1    1           1           1        0          1        0       1
Owner    | department | other | none    | owner   | 0   | 1    1           1           1        0          1        0       0
Owner    | department | other | none    | none    | 1   | 1    1           1           1        1          1        0       0
Owner    | department | other | none    | creator | 1   | 1    1           1           1        1          1        0       1
Owner    | department | other | none    | owner   | 1   | 1    1           1           1        1          1        0       0
Owner    | department | other | viewer  | none    | 0   | 1    1           1           1        0          1        0       0
Owner    | department | other | viewer  | creator | 0   | 1    1           1           1        0          1        0       1
Owner    | department | other | viewer  | owner   | 0   | 1    1           1           1        0          1        0       0
Owner    | department | other | viewer  | none    | 1   | 1    1           1           1        1          1        0       0
Owner    | department | other | viewer  | creator | 1   | 1    1           1           1        1          1        0       1
Owner    | department | other | viewer  | owner   | 1   | 1    1           1           1        1          1        0       0
Owner    | department | other | contrib | none    | 0   | 1    1           1           1        0          1        0       0
Owner    | department | other | contrib | creator | 0   | 1    1           1           1        0          1        0       1
Owner    | department | other | contrib | owner   | 0   | 1    1           1           1        0          1        0       0
Owner    | department | other | contrib | none    | 1   | 1    1           1           1        1          1        0       0
Owner    | department | other | contrib | creator | 1   | 1    1           1           1        1          1        0       1
Owner    | department | other | contrib | owner   | 1   | 1    1           1           1        1          1        0       0
Owner    | department | other | manager | none    | 0   | 1    1           1           1        0          1        0       0
Owner    | department | other | manager | creator | 0   | 1    1           1           1        0          1        0       1
Owner    | department | other | manager | owner   | 0   | 1    1           1           1        0          1        0       0
Owner    | department | other | manager | none    | 1   | 1    1           1           1        1          1        0       0
Owner    | department | other | manager | creator | 1   | 1    1           1           1        1          1        0       1
Owner    | department | other | manager | owner   | 1   | 1    1           1           1        1          1        0       0
Owner    | department | none  | none    | none    | 0   | 1    1           1           1        0          1        0       0
Owner    | department | none  | none    | creator | 0   | 1    1           1           1        0          1        0       1
Owner    | department | none  | none    | owner   | 0   | 1    1           1           1        0          1        0       0
Owner    | department | none  | none    | none    | 1   | 1    1           1           1        1          1        0       0
Owner    | department | none  | none    | creator | 1   | 1    1           1           1        1          1        0       1
Owner    | department | none  | none    | owner   | 1   | 1    1           1           1        1          1        0       0
Owner    | department | none  | viewer  | none    | 0   | 1    1           1           1        0          1        0       0
Owner    | department | none  | viewer  | creator | 0   | 1    1           1           1        0          1        0       1
Owner    | department | none  | viewer  | owner   | 0   | 1    1           1           1        0          1        0       0
Owner    | department | none  | viewer  | none    | 1   | 1    1           1           1        1          1        0       0
Owner    | department | none  | viewer  | creator | 1   | 1    1           1           1        1          1        0       1
Owner    | department | none  | viewer  | owner   | 1   | 1    1           1           1        1          1        0       0
Owner    | department | none  | contrib | none    | 0   | 1    1           1           1        0          1        0       0
Owner    | department | none  | contrib | creator | 0   | 1    1           1           1        0          1        0       1
Owner    | department | none  | contrib | owner   | 0   | 1    1           1           1        0          1        0       0
Owner    | department | none  | contrib | none    | 1   | 1    1           1           1        1          1        0       0
Owner    | department | none  | contrib | creator | 1   | 1    1           1           1        1          1        0       1
Owner    | department | none  | contrib | owner   | 1   | 1    1           1           1        1          1        0       0
Owner    | department | none  | manager | none    | 0   | 1    1           1           1        0          1        0       0
Owner    | department | none  | manager | creator | 0   | 1    1           1           1        0          1        0       1
Owner    | department | none  | manager | owner   | 0   | 1    1           1           1        0          1        0       0
Owner    | department | none  | manager | none    | 1   | 1    1           1           1        1          1        0       0
Owner    | department | none  | manager | creator | 1   | 1    1           1           1        1          1        0       1
Owner    | department | none  | manager | owner   | 1   | 1    1           1           1        1          1        0       0
Owner    | company    | match | none    | none    | 0   | 1    1           1           1        0          1        0       0
Owner    | company    | match | none    | creator | 0   | 1    1           1           1        0          1        0       1
Owner    | company    | match | none    | owner   | 0   | 1    1           1           1        0          1        0       0
Owner    | company    | match | none    | none    | 1   | 1    1           1           1        1          1        0       0
Owner    | company    | match | none    | creator | 1   | 1    1           1           1        1          1        0       1
Owner    | company    | match | none    | owner   | 1   | 1    1           1           1        1          1        0       0
Owner    | company    | match | viewer  | none    | 0   | 1    1           1           1        0          1        0       0
Owner    | company    | match | viewer  | creator | 0   | 1    1           1           1        0          1        0       1
Owner    | company    | match | viewer  | owner   | 0   | 1    1           1           1        0          1        0       0
Owner    | company    | match | viewer  | none    | 1   | 1    1           1           1        1          1        0       0
Owner    | company    | match | viewer  | creator | 1   | 1    1           1           1        1          1        0       1
Owner    | company    | match | viewer  | owner   | 1   | 1    1           1           1        1          1        0       0
Owner    | company    | match | contrib | none    | 0   | 1    1           1           1        0          1        0       0
Owner    | company    | match | contrib | creator | 0   | 1    1           1           1        0          1        0       1
Owner    | company    | match | contrib | owner   | 0   | 1    1           1           1        0          1        0       0
Owner    | company    | match | contrib | none    | 1   | 1    1           1           1        1          1        0       0
Owner    | company    | match | contrib | creator | 1   | 1    1           1           1        1          1        0       1
Owner    | company    | match | contrib | owner   | 1   | 1    1           1           1        1          1        0       0
Owner    | company    | match | manager | none    | 0   | 1    1           1           1        0          1        0       0
Owner    | company    | match | manager | creator | 0   | 1    1           1           1        0          1        0       1
Owner    | company    | match | manager | owner   | 0   | 1    1           1           1        0          1        0       0
Owner    | company    | match | manager | none    | 1   | 1    1           1           1        1          1        0       0
Owner    | company    | match | manager | creator | 1   | 1    1           1           1        1          1        0       1
Owner    | company    | match | manager | owner   | 1   | 1    1           1           1        1          1        0       0
Owner    | company    | other | none    | none    | 0   | 1    1           1           1        0          1        0       0
Owner    | company    | other | none    | creator | 0   | 1    1           1           1        0          1        0       1
Owner    | company    | other | none    | owner   | 0   | 1    1           1           1        0          1        0       0
Owner    | company    | other | none    | none    | 1   | 1    1           1           1        1          1        0       0
Owner    | company    | other | none    | creator | 1   | 1    1           1           1        1          1        0       1
Owner    | company    | other | none    | owner   | 1   | 1    1           1           1        1          1        0       0
Owner    | company    | other | viewer  | none    | 0   | 1    1           1           1        0          1        0       0
Owner    | company    | other | viewer  | creator | 0   | 1    1           1           1        0          1        0       1
Owner    | company    | other | viewer  | owner   | 0   | 1    1           1           1        0          1        0       0
Owner    | company    | other | viewer  | none    | 1   | 1    1           1           1        1          1        0       0
Owner    | company    | other | viewer  | creator | 1   | 1    1           1           1        1          1        0       1
Owner    | company    | other | viewer  | owner   | 1   | 1    1           1           1        1          1        0       0
Owner    | company    | other | contrib | none    | 0   | 1    1           1           1        0          1        0       0
Owner    | company    | other | contrib | creator | 0   | 1    1           1           1        0          1        0       1
Owner    | company    | other | contrib | owner   | 0   | 1    1           1           1        0          1        0       0
Owner    | company    | other | contrib | none    | 1   | 1    1           1           1        1          1        0       0
Owner    | company    | other | contrib | creator | 1   | 1    1           1           1        1          1        0       1
Owner    | company    | other | contrib | owner   | 1   | 1    1           1           1        1          1        0       0
Owner    | company    | other | manager | none    | 0   | 1    1           1           1        0          1        0       0
Owner    | company    | other | manager | creator | 0   | 1    1           1           1        0          1        0       1
Owner    | company    | other | manager | owner   | 0   | 1    1           1           1        0          1        0       0
Owner    | company    | other | manager | none    | 1   | 1    1           1           1        1          1        0       0
Owner    | company    | other | manager | creator | 1   | 1    1           1           1        1          1        0       1
Owner    | company    | other | manager | owner   | 1   | 1    1           1           1        1          1        0       0
Owner    | company    | none  | none    | none    | 0   | 1    1           1           1        0          1        0       0
Owner    | company    | none  | none    | creator | 0   | 1    1           1           1        0          1        0       1
Owner    | company    | none  | none    | owner   | 0   | 1    1           1           1        0          1        0       0
Owner    | company    | none  | none    | none    | 1   | 1    1           1           1        1          1        0       0
Owner    | company    | none  | none    | creator | 1   | 1    1           1           1        1          1        0       1
Owner    | company    | none  | none    | owner   | 1   | 1    1           1           1        1          1        0       0
Owner    | company    | none  | viewer  | none    | 0   | 1    1           1           1        0          1        0       0
Owner    | company    | none  | viewer  | creator | 0   | 1    1           1           1        0          1        0       1
Owner    | company    | none  | viewer  | owner   | 0   | 1    1           1           1        0          1        0       0
Owner    | company    | none  | viewer  | none    | 1   | 1    1           1           1        1          1        0       0
Owner    | company    | none  | viewer  | creator | 1   | 1    1           1           1        1          1        0       1
Owner    | company    | none  | viewer  | owner   | 1   | 1    1           1           1        1          1        0       0
Owner    | company    | none  | contrib | none    | 0   | 1    1           1           1        0          1        0       0
Owner    | company    | none  | contrib | creator | 0   | 1    1           1           1        0          1        0       1
Owner    | company    | none  | contrib | owner   | 0   | 1    1           1           1        0          1        0       0
Owner    | company    | none  | contrib | none    | 1   | 1    1           1           1        1          1        0       0
Owner    | company    | none  | contrib | creator | 1   | 1    1           1           1        1          1        0       1
Owner    | company    | none  | contrib | owner   | 1   | 1    1           1           1        1          1        0       0
Owner    | company    | none  | manager | none    | 0   | 1    1           1           1        0          1        0       0
Owner    | company    | none  | manager | creator | 0   | 1    1           1           1        0          1        0       1
Owner    | company    | none  | manager | owner   | 0   | 1    1           1           1        0          1        0       0
Owner    | company    | none  | manager | none    | 1   | 1    1           1           1        1          1        0       0
Owner    | company    | none  | manager | creator | 1   | 1    1           1           1        1          1        0       1
Owner    | company    | none  | manager | owner   | 1   | 1    1           1           1        1          1        0       0
Owner    | public     | match | none    | none    | 0   | 1    1           1           1        0          1        0       0
Owner    | public     | match | none    | creator | 0   | 1    1           1           1        0          1        0       1
Owner    | public     | match | none    | owner   | 0   | 1    1           1           1        0          1        0       0
Owner    | public     | match | none    | none    | 1   | 1    1           1           1        1          1        0       0
Owner    | public     | match | none    | creator | 1   | 1    1           1           1        1          1        0       1
Owner    | public     | match | none    | owner   | 1   | 1    1           1           1        1          1        0       0
Owner    | public     | match | viewer  | none    | 0   | 1    1           1           1        0          1        0       0
Owner    | public     | match | viewer  | creator | 0   | 1    1           1           1        0          1        0       1
Owner    | public     | match | viewer  | owner   | 0   | 1    1           1           1        0          1        0       0
Owner    | public     | match | viewer  | none    | 1   | 1    1           1           1        1          1        0       0
Owner    | public     | match | viewer  | creator | 1   | 1    1           1           1        1          1        0       1
Owner    | public     | match | viewer  | owner   | 1   | 1    1           1           1        1          1        0       0
Owner    | public     | match | contrib | none    | 0   | 1    1           1           1        0          1        0       0
Owner    | public     | match | contrib | creator | 0   | 1    1           1           1        0          1        0       1
Owner    | public     | match | contrib | owner   | 0   | 1    1           1           1        0          1        0       0
Owner    | public     | match | contrib | none    | 1   | 1    1           1           1        1          1        0       0
Owner    | public     | match | contrib | creator | 1   | 1    1           1           1        1          1        0       1
Owner    | public     | match | contrib | owner   | 1   | 1    1           1           1        1          1        0       0
Owner    | public     | match | manager | none    | 0   | 1    1           1           1        0          1        0       0
Owner    | public     | match | manager | creator | 0   | 1    1           1           1        0          1        0       1
Owner    | public     | match | manager | owner   | 0   | 1    1           1           1        0          1        0       0
Owner    | public     | match | manager | none    | 1   | 1    1           1           1        1          1        0       0
Owner    | public     | match | manager | creator | 1   | 1    1           1           1        1          1        0       1
Owner    | public     | match | manager | owner   | 1   | 1    1           1           1        1          1        0       0
Owner    | public     | other | none    | none    | 0   | 1    1           1           1        0          1        0       0
Owner    | public     | other | none    | creator | 0   | 1    1           1           1        0          1        0       1
Owner    | public     | other | none    | owner   | 0   | 1    1           1           1        0          1        0       0
Owner    | public     | other | none    | none    | 1   | 1    1           1           1        1          1        0       0
Owner    | public     | other | none    | creator | 1   | 1    1           1           1        1          1        0       1
Owner    | public     | other | none    | owner   | 1   | 1    1           1           1        1          1        0       0
Owner    | public     | other | viewer  | none    | 0   | 1    1           1           1        0          1        0       0
Owner    | public     | other | viewer  | creator | 0   | 1    1           1           1        0          1        0       1
Owner    | public     | other | viewer  | owner   | 0   | 1    1           1           1        0          1        0       0
Owner    | public     | other | viewer  | none    | 1   | 1    1           1           1        1          1        0       0
Owner    | public     | other | viewer  | creator | 1   | 1    1           1           1        1          1        0       1
Owner    | public     | other | viewer  | owner   | 1   | 1    1           1           1        1          1        0       0
Owner    | public     | other | contrib | none    | 0   | 1    1           1           1        0          1        0       0
Owner    | public     | other | contrib | creator | 0   | 1    1           1           1        0          1        0       1
Owner    | public     | other | contrib | owner   | 0   | 1    1           1           1        0          1        0       0
Owner    | public     | other | contrib | none    | 1   | 1    1           1           1        1          1        0       0
Owner    | public     | other | contrib | creator | 1   | 1    1           1           1        1          1        0       1
Owner    | public     | other | contrib | owner   | 1   | 1    1           1           1        1          1        0       0
Owner    | public     | other | manager | none    | 0   | 1    1           1           1        0          1        0       0
Owner    | public     | other | manager | creator | 0   | 1    1           1           1        0          1        0       1
Owner    | public     | other | manager | owner   | 0   | 1    1           1           1        0          1        0       0
Owner    | public     | other | manager | none    | 1   | 1    1           1           1        1          1        0       0
Owner    | public     | other | manager | creator | 1   | 1    1           1           1        1          1        0       1
Owner    | public     | other | manager | owner   | 1   | 1    1           1           1        1          1        0       0
Owner    | public     | none  | none    | none    | 0   | 1    1           1           1        0          1        0       0
Owner    | public     | none  | none    | creator | 0   | 1    1           1           1        0          1        0       1
Owner    | public     | none  | none    | owner   | 0   | 1    1           1           1        0          1        0       0
Owner    | public     | none  | none    | none    | 1   | 1    1           1           1        1          1        0       0
Owner    | public     | none  | none    | creator | 1   | 1    1           1           1        1          1        0       1
Owner    | public     | none  | none    | owner   | 1   | 1    1           1           1        1          1        0       0
Owner    | public     | none  | viewer  | none    | 0   | 1    1           1           1        0          1        0       0
Owner    | public     | none  | viewer  | creator | 0   | 1    1           1           1        0          1        0       1
Owner    | public     | none  | viewer  | owner   | 0   | 1    1           1           1        0          1        0       0
Owner    | public     | none  | viewer  | none    | 1   | 1    1           1           1        1          1        0       0
Owner    | public     | none  | viewer  | creator | 1   | 1    1           1           1        1          1        0       1
Owner    | public     | none  | viewer  | owner   | 1   | 1    1           1           1        1          1        0       0
Owner    | public     | none  | contrib | none    | 0   | 1    1           1           1        0          1        0       0
Owner    | public     | none  | contrib | creator | 0   | 1    1           1           1        0          1        0       1
Owner    | public     | none  | contrib | owner   | 0   | 1    1           1           1        0          1        0       0
Owner    | public     | none  | contrib | none    | 1   | 1    1           1           1        1          1        0       0
Owner    | public     | none  | contrib | creator | 1   | 1    1           1           1        1          1        0       1
Owner    | public     | none  | contrib | owner   | 1   | 1    1           1           1        1          1        0       0
Owner    | public     | none  | manager | none    | 0   | 1    1           1           1        0          1        0       0
Owner    | public     | none  | manager | creator | 0   | 1    1           1           1        0          1        0       1
Owner    | public     | none  | manager | owner   | 0   | 1    1           1           1        0          1        0       0
Owner    | public     | none  | manager | none    | 1   | 1    1           1           1        1          1        0       0
Owner    | public     | none  | manager | creator | 1   | 1    1           1           1        1          1        0       1
Owner    | public     | none  | manager | owner   | 1   | 1    1           1           1        1          1        0       0
CM       | private    | match | none    | none    | 0   | 1    1           1           1        0          1        0       0
CM       | private    | match | none    | creator | 0   | 1    1           1           1        0          1        0       1
CM       | private    | match | none    | owner   | 0   | 1    1           1           1        0          1        0       0
CM       | private    | match | none    | none    | 1   | 1    1           1           1        1          1        0       0
CM       | private    | match | none    | creator | 1   | 1    1           1           1        1          1        0       1
CM       | private    | match | none    | owner   | 1   | 1    1           1           1        1          1        0       0
CM       | private    | match | viewer  | none    | 0   | 1    1           1           1        0          1        0       0
CM       | private    | match | viewer  | creator | 0   | 1    1           1           1        0          1        0       1
CM       | private    | match | viewer  | owner   | 0   | 1    1           1           1        0          1        0       0
CM       | private    | match | viewer  | none    | 1   | 1    1           1           1        1          1        0       0
CM       | private    | match | viewer  | creator | 1   | 1    1           1           1        1          1        0       1
CM       | private    | match | viewer  | owner   | 1   | 1    1           1           1        1          1        0       0
CM       | private    | match | contrib | none    | 0   | 1    1           1           1        0          1        0       0
CM       | private    | match | contrib | creator | 0   | 1    1           1           1        0          1        0       1
CM       | private    | match | contrib | owner   | 0   | 1    1           1           1        0          1        0       0
CM       | private    | match | contrib | none    | 1   | 1    1           1           1        1          1        0       0
CM       | private    | match | contrib | creator | 1   | 1    1           1           1        1          1        0       1
CM       | private    | match | contrib | owner   | 1   | 1    1           1           1        1          1        0       0
CM       | private    | match | manager | none    | 0   | 1    1           1           1        0          1        0       0
CM       | private    | match | manager | creator | 0   | 1    1           1           1        0          1        0       1
CM       | private    | match | manager | owner   | 0   | 1    1           1           1        0          1        0       0
CM       | private    | match | manager | none    | 1   | 1    1           1           1        1          1        0       0
CM       | private    | match | manager | creator | 1   | 1    1           1           1        1          1        0       1
CM       | private    | match | manager | owner   | 1   | 1    1           1           1        1          1        0       0
CM       | private    | other | none    | none    | 0   | 1    1           1           1        0          1        0       0
CM       | private    | other | none    | creator | 0   | 1    1           1           1        0          1        0       1
CM       | private    | other | none    | owner   | 0   | 1    1           1           1        0          1        0       0
CM       | private    | other | none    | none    | 1   | 1    1           1           1        1          1        0       0
CM       | private    | other | none    | creator | 1   | 1    1           1           1        1          1        0       1
CM       | private    | other | none    | owner   | 1   | 1    1           1           1        1          1        0       0
CM       | private    | other | viewer  | none    | 0   | 1    1           1           1        0          1        0       0
CM       | private    | other | viewer  | creator | 0   | 1    1           1           1        0          1        0       1
CM       | private    | other | viewer  | owner   | 0   | 1    1           1           1        0          1        0       0
CM       | private    | other | viewer  | none    | 1   | 1    1           1           1        1          1        0       0
CM       | private    | other | viewer  | creator | 1   | 1    1           1           1        1          1        0       1
CM       | private    | other | viewer  | owner   | 1   | 1    1           1           1        1          1        0       0
CM       | private    | other | contrib | none    | 0   | 1    1           1           1        0          1        0       0
CM       | private    | other | contrib | creator | 0   | 1    1           1           1        0          1        0       1
CM       | private    | other | contrib | owner   | 0   | 1    1           1           1        0          1        0       0
CM       | private    | other | contrib | none    | 1   | 1    1           1           1        1          1        0       0
CM       | private    | other | contrib | creator | 1   | 1    1           1           1        1          1        0       1
CM       | private    | other | contrib | owner   | 1   | 1    1           1           1        1          1        0       0
CM       | private    | other | manager | none    | 0   | 1    1           1           1        0          1        0       0
CM       | private    | other | manager | creator | 0   | 1    1           1           1        0          1        0       1
CM       | private    | other | manager | owner   | 0   | 1    1           1           1        0          1        0       0
CM       | private    | other | manager | none    | 1   | 1    1           1           1        1          1        0       0
CM       | private    | other | manager | creator | 1   | 1    1           1           1        1          1        0       1
CM       | private    | other | manager | owner   | 1   | 1    1           1           1        1          1        0       0
CM       | private    | none  | none    | none    | 0   | 1    1           1           1        0          1        0       0
CM       | private    | none  | none    | creator | 0   | 1    1           1           1        0          1        0       1
CM       | private    | none  | none    | owner   | 0   | 1    1           1           1        0          1        0       0
CM       | private    | none  | none    | none    | 1   | 1    1           1           1        1          1        0       0
CM       | private    | none  | none    | creator | 1   | 1    1           1           1        1          1        0       1
CM       | private    | none  | none    | owner   | 1   | 1    1           1           1        1          1        0       0
CM       | private    | none  | viewer  | none    | 0   | 1    1           1           1        0          1        0       0
CM       | private    | none  | viewer  | creator | 0   | 1    1           1           1        0          1        0       1
CM       | private    | none  | viewer  | owner   | 0   | 1    1           1           1        0          1        0       0
CM       | private    | none  | viewer  | none    | 1   | 1    1           1           1        1          1        0       0
CM       | private    | none  | viewer  | creator | 1   | 1    1           1           1        1          1        0       1
